,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
568,2614,"Chapman, Jake",Male,born 1966,1966.0,,"Cheltenham, United Kingdom",,http://www.tate.org.uk/art/artists/jake-chapman-2614
569,889,"Chappell, William",Male,1907–1994,1907.0,1994.0,"Wolverhampton, United Kingdom","Rye, United Kingdom",http://www.tate.org.uk/art/artists/william-chappell-889
570,890,"Charbonneau, Monique",Female,born 1928,1928.0,,"Montréal, Canada",,http://www.tate.org.uk/art/artists/monique-charbonneau-890
571,91,"Charles, James",Male,1851–1906,1851.0,1906.0,"Warrington, United Kingdom","Denbighshire, United Kingdom",http://www.tate.org.uk/art/artists/james-charles-91
572,891,"Charlton, Alan",Male,born 1948,1948.0,,"Sheffield, United Kingdom",,http://www.tate.org.uk/art/artists/alan-charlton-891
573,2390,"Charlton, Evan",Male,1904–1984,1904.0,1984.0,"London, United Kingdom","Wales, United Kingdom",http://www.tate.org.uk/art/artists/evan-charlton-2390
574,892,"Charlton, George",Male,1899–1979,1899.0,1979.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/george-charlton-892
575,893,"Charnay, Armand",Male,1844–1916,1844.0,1916.0,Charlieu,France,http://www.tate.org.uk/art/artists/armand-charnay-893
576,894,"Charoux, Siegfried",Male,1896–1967,1896.0,1967.0,"Wien, Österreich","London, United Kingdom",http://www.tate.org.uk/art/artists/siegfried-charoux-894
577,2346,"Chase, William",Male,1878–1944,1878.0,1944.0,,,http://www.tate.org.uk/art/artists/william-chase-2346
578,2222,"Chatelain, Jean Baptiste Claude",Male,c.1710–c.1758,1710.0,1758.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/jean-baptiste-claude-chatelain-2222
579,11461,"Chaves, Raimond",Male,born 1963,1963.0,,"Santafé de Bogotá, D.C., Colombia",,http://www.tate.org.uk/art/artists/raimond-chaves-11461
580,895,"Cheese, Bernard",Male,born 1925,1925.0,,"Sydenham, United Kingdom",,http://www.tate.org.uk/art/artists/bernard-cheese-895
581,896,"Cheese, Chloe",Female,born 1952,1952.0,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/chloe-cheese-896
582,7298,"Chen, Zhen",Male,1955–2000,1955.0,2000.0,"Shanghai, Zhonghua","Paris, France",http://www.tate.org.uk/art/artists/chen-zhen-7298
583,15351,"Chernysheva, Olga",Female,born 1962,1962.0,,"Moskva, Rossiya",,http://www.tate.org.uk/art/artists/olga-chernysheva-15351
